id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11298,Keenan,Evans,Guard,LDN,London Lions,12.2,0,0,false,1,SIA,2,true,opponent
11299,Landrius,Horton,Guard,LDN,London Lions,12,0,0,false,1,SIA,2,true,opponent
11300,Maxwell,Lewis,Forward,LDN,London Lions,9.7,0,0,false,1,SIA,2,true,opponent
11301,Joshua,O'garro,Guard,LDN,London Lions,7,0,0,false,1,SIA,2,true,opponent
11302,Matt,Goodwin,Guard,LDN,London Lions,4.1,0,0,false,1,SIA,2,true,opponent
11303,Emilis,Zibuda,Guard,LDN,London Lions,4,0,0,false,1,SIA,2,true,opponent
11304,Miro,Bilan,Center,RMA,Maxima Roma,14,0,0,false,1,UBT,2,true,opponent
11305,Xavier,Moon,Guard,RMA,Maxima Roma,12.4,0,0,false,1,UBT,2,true,opponent
11306,Aaron,Holiday,Guard,RMA,Maxima Roma,11.9,0,0,false,1,UBT,2,true,opponent
11307,Vernon,Carey Jr,Center,RMA,Maxima Roma,11.8,0,0,false,1,UBT,2,true,opponent
11308,Matt,Ryan,Forward,RMA,Maxima Roma,11.5,0,0,false,1,UBT,2,true,opponent
11309,John,Brown Iii,Forward,RMA,Maxima Roma,10,0,0,false,1,UBT,2,true,opponent
11310,Matteo,Cotelli,Head Coach,RMA,Maxima Roma,7.5,0,0,false,1,UBT,2,true,opponent
11311,Mirza,Alibegovic,Guard,RMA,Maxima Roma,7.2,0,0,false,1,UBT,2,true,opponent
11312,Gora,Camara,Center,RMA,Maxima Roma,6,0,0,false,1,UBT,2,true,opponent
11313,Giovanni,Veronesi,Forward,RMA,Maxima Roma,5.3,0,0,false,1,UBT,2,true,opponent
11314,Federico,Bonacini,Guard,RMA,Maxima Roma,4.5,0,0,false,1,UBT,2,true,opponent
11315,Jahmi'us,Ramsey,Guard,NAP,Napoli Basketball,12.3,0,0,false,1,JLB,2,true,opponent
11316,Jackson,White,Forward,NAP,Napoli Basketball,10.4,0,0,false,1,JLB,2,true,opponent
11317,Marco,Spissu,Guard,NAP,Napoli Basketball,10.3,0,0,false,1,JLB,2,true,opponent
11318,John,Petrucelli,Guard,NAP,Napoli Basketball,9.7,0,0,false,1,JLB,2,true,opponent
11319,Jasmin,Repesa,Head Coach,NAP,Napoli Basketball,8.5,0,0,false,1,JLB,2,true,opponent
11320,Guglielmo,Caruso,Center,NAP,Napoli Basketball,7.3,0,0,false,1,JLB,2,true,opponent
11321,Assane,Sankare,Forward,NAP,Napoli Basketball,4.2,0,0,false,1,JLB,2,true,opponent
11322,Leonardo,Faggian,Guard,NAP,Napoli Basketball,4.1,0,0,false,1,JLB,2,true,opponent
11323,Einaras,Tubutis,Forward,NEP,Neptunas Klaipeda,10.3,0,0,false,1,TRE,1,true,opponent
11324,Martynas,Echodas,Center,NEP,Neptunas Klaipeda,10,0,0,false,1,TRE,1,true,opponent
11325,Yannick,Franke,Guard,NEP,Neptunas Klaipeda,9.8,0,0,false,1,TRE,1,true,opponent
11326,Elvar,Fridriksson,Guard,NEP,Neptunas Klaipeda,9.6,0,0,false,1,TRE,1,true,opponent
11327,Lukas,Kreismontas,Forward,NEP,Neptunas Klaipeda,9.5,0,0,false,1,TRE,1,true,opponent
11328,Henri,Drell,Forward,NEP,Neptunas Klaipeda,7.5,0,0,false,1,TRE,1,true,opponent
11329,Kristupas,Zemaitis,Guard,NEP,Neptunas Klaipeda,7,0,0,false,1,TRE,1,true,opponent
